experiment,label,AP,AP5,AP75,AP_M,AP_L,AR,AR5,AR75,AR_M,AR_L
linf8,pixelate_1,0.633360925759123,0.8732101650727766,0.696074804852018,0.5556514488248321,0.7416070852370761,0.6673173803526449,0.8871221662468514,0.7221347607052897,0.5874897568970227,0.7798959494611668
linf8,pixelate_2,0.5702384460314704,0.8206188327181841,0.6122741894784701,0.4538765293175268,0.7304394811612525,0.6062972292191435,0.839735516372796,0.6421599496221663,0.48669762360010926,0.7726495726495727
linf8,pixelate_3,0.49090975545914245,0.7459783481433545,0.5130269603785381,0.3343813022235996,0.7010663915437995,0.5252991183879094,0.7608627204030227,0.5478589420654912,0.36645725211690794,0.7445559271646228
linf8,pixelate_4,0.42856957685836977,0.6564031120015651,0.4533533432022828,0.24485932210245073,0.6761431343186187,0.45993387909319894,0.6727015113350125,0.4811083123425693,0.2704452335427479,0.7208844295800817
linf8,jpeg_compression_0,0.6036051186702276,0.8513903143577926,0.6534807257528545,0.5186504585213256,0.7241746797584762,0.6399086901763225,0.8650818639798489,0.6878148614609572,0.55118819994537,0.7647342995169082
linf8,jpeg_compression_1,0.5643301312305696,0.8193355804710457,0.6135843111432884,0.46148771271101563,0.7072926785263876,0.6003935768261964,0.8337531486146096,0.6451511335012594,0.4932805244468724,0.7498327759197324
linf8,jpeg_compression_2,0.5354210381125177,0.7901868967657412,0.5717965916486233,0.4171775086418188,0.6963353915157489,0.5703243073047859,0.8096662468513854,0.6042191435768262,0.44960393335154336,0.7375696767001114
linf8,jpeg_compression_3,0.4546913907060095,0.7061509491554117,0.4800036245867684,0.3149978129885262,0.6437504534340349,0.49045969773299747,0.7243387909319899,0.5138539042821159,0.3467904944004371,0.6881085098476403
linf8,jpeg_compression_4,0.3686436911980309,0.6033736146378617,0.38047731106690563,0.21591983469369594,0.571207876691099,0.40044080604534005,0.6273614609571788,0.4104219143576826,0.24326686697623603,0.6161278335191379
linf4,clean_0,0.71610625651264,0.9154309936247988,0.7938750484557151,0.6901996581880482,0.7596376408635902,0.748992443324937,0.9289987405541562,0.8189546599496221,0.7173449877082765,0.7965068747677444
linf4,gaussian_noise_0,0.6061435052900969,0.8508108334025878,0.6633267528379575,0.5372327819244456,0.7036390196829767,0.6406013853904282,0.860831234256927,0.6923803526448362,0.5668942911772741,0.7447045707915272
linf4,gaussian_noise_1,0.5419929596821335,0.7978921505325528,0.5829239860422634,0.4521521461241826,0.6666519594262588,0.5787468513853905,0.815963476070529,0.6171284634760705,0.48380223982518433,0.7112597547380156
linf4,gaussian_noise_2,0.4514789375881528,0.7130974583955971,0.47519116829258007,0.33883313207712973,0.6036183802362286,0.4886649874055416,0.7353589420654912,0.5100755667506297,0.36976236001092594,0.6524712002972872
linf4,gaussian_noise_3,0.3409866239701993,0.5952772723166776,0.34415375873182974,0.21281083604866843,0.5126112287248149,0.3788570528967254,0.6212216624685138,0.3869647355163728,0.24255667850314128,0.5655146785581567
linf4,gaussian_noise_4,0.21458042887048423,0.42129680481438625,0.19018122334779905,0.0964192282715063,0.3705857948839948,0.2478274559193955,0.45450251889168763,0.232367758186398,0.11912045889101339,0.42378298030471945
linf4,shot_noise_0,0.6247091948117679,0.8624039340841453,0.6874237491066562,0.5598055833408623,0.7183225108265876,0.6606423173803526,0.8773614609571788,0.717411838790932,0.5915323682054082,0.7588257153474545
linf4,shot_noise_1,0.5641963332371377,0.8193724948615824,0.608845682201033,0.48039514221290003,0.6800372616752005,0.6002518891687657,0.8350125944584383,0.6413727959697733,0.5118819994537012,0.7234856930509105
linf4,shot_noise_2,0.4763995203115005,0.7461423416582251,0.4976804533964755,0.3700020615455816,0.6230366932650652,0.5152707808564231,0.7643261964735516,0.5399874055415617,0.40270417918601475,0.6708658491267186
linf4,shot_noise_3,0.34989274257518027,0.6104592006510091,0.35120577821678045,0.22422734444282433,0.5179055897072861,0.38768891687657436,0.6342884130982368,0.3932619647355164,0.25503960666484565,0.5696395392047566
linf4,shot_noise_4,0.26988506518923105,0.5144727901154109,0.2483050238480853,0.14891071512735277,0.4312451634370706,0.3069426952141058,0.5429785894206549,0.2942380352644836,0.17609942638623327,0.48584169453734666
linf4,impulse_noise_0,0.5855383374255722,0.8397640539017897,0.6341896611889695,0.5126014704188454,0.6886571546632877,0.6207493702770781,0.8509130982367759,0.669867758186398,0.5434307566238733,0.7290226681531029
linf4,impulse_noise_1,0.5135142708061192,0.7774685532046207,0.5495378550785203,0.42031810202502884,0.6440100474801128,0.550897355163728,0.7970717884130982,0.5848551637279596,0.4510516252390057,0.6893719806763284
linf4,impulse_noise_2,0.46137696560246566,0.7245468737016958,0.48566004919340916,0.35212324007604917,0.6093651469859973,0.500015743073048,0.7485831234256927,0.5253463476070529,0.38500409724119095,0.6587513935340021
linf4,impulse_noise_3,0.34387328933256023,0.5976914855184552,0.3447897795468936,0.220553327123781,0.5107507578176202,0.3830761964735517,0.6264168765743073,0.3886964735516373,0.25061458617863963,0.5642140468227425
linf4,impulse_noise_4,0.23435468238057405,0.45141247027000936,0.2114078681154224,0.11289801144762387,0.39538731231702107,0.2691750629722922,0.485044080604534,0.2540931989924433,0.13886916143130293,0.4471200297287254
linf4,defocus_blur_0,0.5793861911591202,0.8401410863199187,0.6313708346951233,0.4778567836704738,0.7184925230788404,0.6177896725440807,0.8592569269521411,0.6630982367758187,0.5145315487571701,0.7617242660720922
linf4,defocus_blur_1,0.5199796953075554,0.7959011177550007,0.5482133318093748,0.3899316141153993,0.6939772739141713,0.5596190176322418,0.8165931989924433,0.586272040302267,0.4286260584539742,0.7410999628390932
linf4,defocus_blur_2,0.4169731002222411,0.6894846749898004,0.4339133792591929,0.25059206873389517,0.635603480568136,0.4570371536523929,0.7136335012594458,0.47087531486146095,0.2888008740781207,0.6878112225938312
linf4,defocus_blur_3,0.33477691197901277,0.5834387161139213,0.33697690477224107,0.15442166406359756,0.570622722800275,0.37314231738035264,0.6139798488664987,0.37594458438287154,0.1878994810161158,0.6267558528428094
linf4,defocus_blur_4,0.2687279103276833,0.49123609838911964,0.26367141243010955,0.08887018120545592,0.5048367415967098,0.3038727959697733,0.5204659949622166,0.3030541561712846,0.11442228899207865,0.5623931623931624
linf4,glass_blur_0,0.5697745900712798,0.849666485476995,0.6207747780238208,0.4685006372283383,0.7072125835162516,0.6085957178841309,0.8633501259445844,0.656801007556675,0.5045615951925704,0.753288740245262
linf4,glass_blur_1,0.5264004999030006,0.8071000565739661,0.5583962134519223,0.40276295557622366,0.6938792867129348,0.5664515113350126,0.8271410579345088,0.5988664987405542,0.44023490849494673,0.7408769973987366
linf4,glass_blur_2,0.3650897020939708,0.659245413294909,0.35730949725323136,0.19447928857169564,0.589457143824391,0.4065491183879094,0.6808879093198993,0.4090050377833753,0.23111171810980605,0.646711259754738
linf4,glass_blur_3,0.34651079825763814,0.6165282479131073,0.348286533466235,0.1703546861336275,0.5761996709544899,0.38546914357682616,0.6440491183879093,0.39231738035264485,0.20546298825457526,0.6318840579710145
linf4,glass_blur_4,0.2796806855569538,0.5242075268487822,0.2685388038289584,0.10299751232447843,0.5104381933038654,0.3169080604534004,0.5524244332493703,0.3123425692695214,0.1325867249385414,0.5687848383500558
linf4,motion_blur_0,0.6052213172476569,0.8705257825320226,0.660078095125132,0.5076570443336951,0.7361463105659505,0.640837531486146,0.881139798488665,0.690963476070529,0.5431029773285988,0.7780379041248606
linf4,motion_blur_1,0.5010233666182894,0.7958320001858882,0.5119191188336373,0.3593003397183495,0.6920269523812251,0.5431360201511335,0.8148614609571788,0.5587216624685138,0.40114722753346077,0.7396878483835005
linf4,motion_blur_2,0.37506803785330073,0.6646031721023864,0.3706881059809846,0.1976259984146874,0.6082154856663216,0.4197103274559194,0.6958438287153652,0.42034005037783373,0.24059000273149414,0.6654775176514307
linf4,motion_blur_3,0.26635765242455767,0.518672571027673,0.24437812041441162,0.09242366738643219,0.49349665726671216,0.30884760705289677,0.5596662468513854,0.2931360201511335,0.12627697350450695,0.5584541062801932
linf4,motion_blur_4,0.20936026390575663,0.443849399339567,0.1743962329322852,0.05413820194037706,0.4095248430408175,0.24926007556675062,0.4822103274559194,0.22591309823677583,0.08284621688063369,0.4761798587885545
linf4,zoom_blur_0,0.26808461694224067,0.5083904389281829,0.25274458148494816,0.12362218434654669,0.46432388984889034,0.30658060453400504,0.5351070528967254,0.3021095717884131,0.14274788309205136,0.530211817168339
linf4,zoom_blur_1,0.18682136993825868,0.4048857463000136,0.15092657413886573,0.07258755319847773,0.3419841589335598,0.22199307304785892,0.43183249370277077,0.20119647355163728,0.08437585359191477,0.4097361575622445
linf4,zoom_blur_2,0.14641045323728527,0.357861292455944,0.09720225151909614,0.05894463363566806,0.2634749983166062,0.1841309823677582,0.3956234256926952,0.15113350125944586,0.07481562414640808,0.3334076551467856
linf4,zoom_blur_3,0.10159920815840086,0.2850895885261428,0.04722230929611992,0.038225750495845874,0.18723765297469525,0.13633501259445843,0.3266687657430731,0.09493073047858942,0.05053264135482109,0.25340022296544035
linf4,zoom_blur_4,0.07896615528051466,0.2461041196797649,0.026463244724854985,0.0401366500034109,0.13733154494030148,0.11596347607052895,0.2947103274559194,0.07399244332493703,0.052089593007375035,0.20341880341880342
linf4,snow_0,0.594708238519751,0.8411642038787371,0.6527546551407044,0.5468311915953105,0.6638689603543535,0.6309666246851385,0.8575251889168766,0.6854534005037783,0.5772193389784211,0.7075436640654031
linf4,snow_1,0.5038378206116569,0.7766016538459334,0.5346625786874145,0.44188319098887546,0.5914746320358094,0.5417191435768262,0.7929785894206549,0.575566750629723,0.47167440590002724,0.6393905611296915
